Date,close,volume,triangle_detected,triangle_upper,triangle_lower,apex_distance,compression_pct,breakout_pressure,channel_detected,channel_upper,channel_lower,channel_width,rectangle_detected,rectangle_upper,rectangle_lower,rectangle_width,flag_detected,pennant_detected,flag_quality,pole_length,retracement_depth,volume_decay,wedge_detected,cup_detected,handle_detected,rounding_top_detected,rounding_bottom_detected,neckline,hs_detected,ihs_detected,hs_neckline_slope,hs_breakout_confirmed,double_top_detected,double_bottom_detected,triple_top_detected,triple_bottom_detected,resistance_strength,volume_confirmation,support_strength,pattern_confidence,trend_strength,breakout_strength,swing_low,swing_high,triangle_type,channel_type,wedge_type,pattern_family,market_phase,market_regime
2026-05-29,732.4359130859375,101299431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,95.0,,,,,,734.846082190099,777.9825721015808,None,None,None,Reversal,Neutral,Neutral
2026-06-01,730.6160278320312,47996441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.846082190099,777.9825721015808,None,None,None,None,Neutral,Neutral
2026-06-02,736.0757446289062,47314447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.846082190099,777.9825721015808,None,None,None,None,Neutral,Neutral
2026-06-03,741.3878784179688,36109480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.846082190099,777.9825721015808,None,None,None,None,Neutral,Neutral
2026-06-04,741.9288940429688,42673538,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,734.846082190099,777.9825721015808,None,None,None,None,Neutral,Neutral
2026-06-05,734.8952026367188,22116568,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,721.2214502442791,777.9825721015808,None,None,None,None,Neutral,Neutral
2026-06-08,726.6319580078125,21550700,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,721.2214502442791,777.9825721015808,None,None,None,None,Neutral,Neutral
2026-06-09,726.3367919921875,38539563,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,721.2214502442791,777.9825721015808,None,None,None,None,Neutral,Neutral
2026-06-10,734.698486328125,44458159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721.2214502442791,746.355676758121,None,None,None,None,Neutral,Neutral
2026-06-11,732.485107421875,32632007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721.2214502442791,746.355676758121,None,None,None,None,Neutral,Neutral
2026-06-12,759.8819580078125,36088159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,85.0,,,,720.3852393810432,746.355676758121,None,None,None,Reversal,Neutral,Neutral
2026-06-15,764.7022094726562,39990334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.3852393810432,746.355676758121,None,None,None,None,Neutral,Neutral
2026-06-16,772.1294555664062,27820970,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,720.3852393810432,746.355676758121,None,None,None,None,Neutral,Neutral
2026-06-17,774.2935791015625,32405604,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,720.3852393810432,746.355676758121,None,None,None,None,Neutral,Neutral
2026-06-18,786.0,41492071,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,720.3852393810432,746.355676758121,None,None,None,None,Neutral,Neutral
2026-06-19,779.7999877929688,33798761,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,720.3852393810432,746.355676758121,None,None,None,None,Neutral,Neutral
2026-06-22,786.4000244140625,25194765,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,720.3852393810432,746.355676758121,None,None,None,None,Neutral,Neutral
2026-06-23,774.6500244140625,28289062,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,720.3852393810432,746.355676758121,None,None,None,None,Neutral,Neutral
2026-06-24,793.2000122070312,34701292,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,720.3852393810432,746.355676758121,None,None,None,None,Neutral,Neutral
2026-06-25,796.2999877929688,46707966,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,720.3852393810432,746.355676758121,None,None,None,None,Neutral,Neutral
2026-06-26,796.2999877929688,0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,772.5499877929688,746.355676758121,None,None,None,None,Neutral,Neutral
2026-06-29,798.9000244140625,46695977,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,772.5499877929688,746.355676758121,None,None,None,None,Neutral,Neutral
2026-06-30,797.9500122070312,45778356,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,772.5499877929688,746.355676758121,None,None,None,None,Neutral,Neutral
2026-07-01,796.1500244140625,26094378,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,772.5499877929688,746.355676758121,None,None,None,None,Neutral,Neutral
2026-07-02,795.9000244140625,34143823,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,772.5499877929688,746.355676758121,None,None,None,None,Neutral,Neutral
2026-07-03,801.0499877929688,25871958,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,792.75,746.355676758121,None,None,None,None,Neutral,Neutral
2026-07-06,829.8499755859375,63203327,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,792.75,746.355676758121,None,None,None,None,Neutral,Neutral
2026-07-07,829.2999877929688,57611729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.75,746.355676758121,None,None,None,None,Neutral,Neutral
2026-07-08,810.2999877929688,38754632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.75,746.355676758121,None,None,None,None,Neutral,Neutral
2026-07-09,817.5499877929688,39891798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.75,746.355676758121,None,None,None,None,Neutral,Neutral
2026-07-10,824.9500122070312,23595785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.75,843.0,None,None,None,None,Neutral,Neutral
2026-07-13,817.9500122070312,21741736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.75,843.0,None,None,None,None,Neutral,Neutral
2026-07-14,809.4000244140625,25605395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.75,843.0,None,None,None,None,Neutral,Neutral
2026-07-15,815.4500122070312,21488739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.75,843.0,None,None,None,None,Neutral,Neutral
2026-07-16,808.2999877929688,18698186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.75,843.0,None,None,None,None,Neutral,Neutral
2026-07-17,819.5999755859375,17415322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.75,843.0,None,None,None,None,Neutral,Neutral
2026-07-20,777.5999755859375,56061789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.75,843.0,None,None,None,None,Neutral,Neutral
2026-07-21,761.4500122070312,42246009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.75,843.0,None,None,None,None,Neutral,Neutral
2026-07-22,753.1500244140625,23385446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.75,823.7000122070312,None,None,None,None,Neutral,Neutral
2026-07-23,747.25,32527278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.75,823.7000122070312,None,None,None,None,Neutral,Neutral
